Entidad,Municipio, Porcentaje2020 , Personas2020 
Durango,Cuencamé, 17.83 ," 6,420.00 "
Durango,Durango, 15.76 ," 109,867.00 "
Durango,General Simón Bolívar, 16.85 ," 1,753.00 "
Durango,Gómez Palacio, 22.66 ," 86,044.00 "
Durango,Guadalupe Victoria, 18.43 ," 7,234.00 "
Durango,Guanaceví, 13.21 ," 1,318.00 "
Durango,Hidalgo, 9.85 , 382.00 
Durango,Indé, 10.13 , 486.00 
Durango,Lerdo, 18.40 ," 30,700.00 "
Durango,Mapimí, 18.66 ," 5,159.00 "
Durango,Mezquital, 55.90 ," 27,449.00 "
Durango,Nazas, 10.93 ," 1,421.00 "
Durango,Nombre de Dios, 13.86 ," 2,728.00 "
Durango,Ocampo, 16.02 ," 1,296.00 "
Durango,El Oro, 13.06 ," 1,407.00 "
Durango,Otáez, 6.36 , 317.00 
Durango,Pánuco de Coronado, 24.32 ," 3,331.00 "
Durango,Peñón Blanco, 23.92 ," 2,768.00 "
Durango,Poanas, 15.60 ," 4,157.00 "
Durango,Pueblo Nuevo, 22.60 ," 10,179.00 "
Durango,Rodeo, 17.78 ," 2,374.00 "
Durango,San Bernardo, 13.13 , 376.00 
Durango,San Dimas, 2.05 , 321.00 
Durango,San Juan de Guadalupe, 15.79 , 838.00 
Durango,San Juan del Río, 9.86 ," 1,203.00 "
Durango,San Luis del Cordero, 9.32 , 198.00 
Durango,San Pedro del Gallo, 5.25 , 87.00 
Durango,Santa Clara, 22.07 ," 1,500.00 "
Durango,Santiago Papasquiaro, 18.16 ," 9,296.00 "
Durango,Súchil, 27.53 ," 1,925.00 "
Durango,Tamazula, 18.30 ," 3,581.00 "
Durango,Tepehuanes, 13.58 ," 1,412.00 "
Durango,Tlahualilo, 15.01 ," 3,195.00 "
Durango,Topia, 11.87 ," 1,118.00 "
Durango,Vicente Guerrero, 18.33 ," 4,574.00 "
Durango,Nuevo Ideal, 14.74 ," 4,307.00 "
Guanajuato,Abasolo, 25.75 ," 23,202.00 "
Guanajuato,Acámbaro, 23.32 ," 23,501.00 "
Guanajuato,San Miguel de Allende, 19.36 ," 30,989.00 "
Guanajuato,Apaseo el Alto, 16.64 ," 9,643.00 "
Guanajuato,Apaseo el Grande, 22.10 ," 25,897.00 "
Guanajuato,Atarjea, 12.34 , 641.00 
Guanajuato,Celaya, 19.27 ," 101,848.00 "
Guanajuato,Manuel Doblado, 23.49 ," 9,301.00 "
Guanajuato,Comonfort, 23.04 ," 16,974.00 "
Guanajuato,Coroneo, 28.20 ," 2,902.00 "
Guanajuato,Cortazar, 11.48 ," 10,439.00 "
Guanajuato,Cuerámaro, 24.82 ," 7,288.00 "
Guanajuato,Doctor Mora, 18.18 ," 4,641.00 "
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional, 23.69 ," 38,984.00 "
Guanajuato,Guanajuato, 15.13 ," 28,295.00 "
Guanajuato,Huanímaro, 23.49 ," 4,377.00 "
Guanajuato,Irapuato, 20.51 ," 123,646.00 "
Guanajuato,Jaral del Progreso, 21.74 ," 7,256.00 "
Guanajuato,Jerécuaro, 14.38 ," 5,852.00 "
Guanajuato,León, 28.97 ," 515,767.00 "
Guanajuato,Moroleón, 10.70 ," 4,227.00 "
Guanajuato,Ocampo, 24.58 ," 5,944.00 "
Guanajuato,Pénjamo, 23.79 ," 35,178.00 "
Guanajuato,Pueblo Nuevo, 20.51 ," 2,490.00 "
Guanajuato,Purísima del Rincón, 25.63 ," 20,725.00 "
Guanajuato,Romita, 23.97 ," 14,165.00 "
Guanajuato,Salamanca, 21.74 ," 59,666.00 "
Guanajuato,Salvatierra, 17.13 ," 14,467.00 "
Guanajuato,San Diego de la Unión, 15.29 ," 5,712.00 "
Guanajuato,San Felipe, 18.04 ," 19,215.00 "
Guanajuato,San Francisco del Rincón, 19.16 ," 24,149.00 "
Guanajuato,San José Iturbide, 8.23 ," 7,216.00 "
Guanajuato,San Luis de la Paz, 18.10 ," 21,374.00 "
Guanajuato,Santa Catarina, 9.66 , 542.00 
Guanajuato,Santa Cruz de Juventino Rosas, 12.46 ," 8,853.00 "
Guanajuato,Santiago Maravatío, 11.00 , 724.00 
Guanajuato,Silao, 24.63 ," 47,419.00 "
Guanajuato,Tarandacuao, 19.47 ," 2,009.00 "
Guanajuato,Tarimoro, 20.66 ," 6,403.00 "
Guanajuato,Tierra Blanca, 27.54 ," 5,465.00 "
Guanajuato,Uriangato, 22.30 ," 12,706.00 "
Guanajuato,Valle de Santiago, 23.80 ," 34,044.00 "
Guanajuato,Victoria, 12.59 ," 2,336.00 "
Guanajuato,Villagrán, 20.43 ," 12,954.00 "
Guanajuato,Xichú, 4.75 , 381.00 
Guanajuato,Yuriria, 26.17 ," 16,600.00 "
Guerrero,Acapulco de Juárez, 34.64 ," 262,349.00 "
Guerrero,Ahuacuotzingo, 39.47 ," 12,795.00 "
Guerrero,Ajuchitlán del Progreso, 24.47 ," 10,321.00 "
Guerrero,Alcozauca de Guerrero, 45.48 ," 9,982.00 "
Guerrero,Alpoyeca, 27.73 ," 2,241.00 "
Guerrero,Apaxtla, 21.44 ," 3,048.00 "
Guerrero,Arcelia, 17.70 ," 5,892.00 "
Guerrero,Atenango del Río, 18.42 ," 1,742.00 "
Guerrero,Atlamajalcingo del Monte, 56.26 ," 3,381.00 "
Guerrero,Atlixtac, 26.46 ," 7,796.00 "
Guerrero,Atoyac de Álvarez, 28.84 ," 16,286.00 "
Guerrero,Ayutla de los Libres, 27.88 ," 20,612.00 "
Guerrero,Azoyú, 41.97 ," 7,081.00 "
Guerrero,Benito Juárez, 32.14 ," 5,147.00 "
Guerrero,Buenavista de Cuéllar, 15.55 ," 1,768.00 "
Guerrero,Coahuayutla de José María Izazaga, 16.17 ," 1,660.00 "
Guerrero,Cocula, 22.71 ," 3,720.00 "
Guerrero,Copala, 41.77 ," 6,301.00 "
Guerrero,Copalillo, 33.24 ," 5,362.00 "
Guerrero,Copanatoyac, 45.20 ," 10,118.00 "
Guerrero,Coyuca de Benítez, 29.47 ," 21,994.00 "
Guerrero,Coyuca de Catalán, 41.17 ," 19,075.00 "
Guerrero,Cuajinicuilapa, 42.85 ," 11,798.00 "
Guerrero,Cualác, 34.06 ," 2,774.00 "
Guerrero,Cuautepec, 37.59 ," 6,573.00 "
Guerrero,Cuetzala del Progreso, 36.42 ," 3,116.00 "
Guerrero,Cutzamala de Pinzón, 23.67 ," 5,796.00 "
Guerrero,Chilapa de Álvarez, 34.79 ," 43,824.00 "
Guerrero,Chilpancingo de los Bravo, 30.71 ," 88,665.00 "
Guerrero,Florencio Villarreal, 33.15 ," 7,239.00 "
Guerrero,General Canuto A. Neri, 7.58 , 492.00 
Guerrero,General Heliodoro Castillo, 46.97 ," 21,204.00 "
Guerrero,Huamuxtitlán, 34.46 ," 6,673.00 "
Guerrero,Huitzuco de los Figueroa, 27.16 ," 9,341.00 "
Guerrero,Iguala de la Independencia, 31.35 ," 50,037.00 "
Guerrero,Igualapa, 42.84 ," 6,511.00 "
Guerrero,Ixcateopan de Cuauhtémoc, 33.31 ," 2,115.00 "
Guerrero,Zihuatanejo de Azueta, 22.33 ," 25,771.00 "
Guerrero,Juan R. Escudero, 37.23 ," 10,875.00 "
Guerrero,Leonardo Bravo, 26.03 ," 7,765.00 "
Guerrero,Malinaltepec, 47.61 ," 18,108.00 "
Guerrero,Mártir de Cuilapan, 23.27 ," 4,420.00 "
Guerrero,Metlatónoc, 45.53 ," 8,880.00 "
Guerrero,Mochitlán, 34.29 ," 4,237.00 "
Guerrero,Olinalá, 41.99 ," 15,403.00 "
Guerrero,Ometepec, 51.57 ," 39,911.00 "
Guerrero,Pedro Ascencio Alquisiras, 14.87 ," 1,088.00 "
Guerrero,Petatlán, 39.10 ," 17,557.00 "
Guerrero,Pilcaya, 17.63 ," 2,337.00 "
Guerrero,Pungarabato, 34.46 ," 14,311.00 "
Guerrero,Quechultenango, 42.18 ," 21,772.00 "
Guerrero,San Luis Acatlán, 53.86 ," 26,888.00 "
Guerrero,San Marcos, 38.92 ," 20,929.00 "
Guerrero,San Miguel Totolapan, 30.94 ," 7,724.00 "
Guerrero,Taxco de Alarcón, 37.52 ," 42,737.00 "
Guerrero,Tecoanapa, 30.99 ," 16,504.00 "
Guerrero,Técpan de Galeana, 41.98 ," 24,720.00 "
Guerrero,Teloloapan, 17.01 ," 9,824.00 "
Guerrero,Tepecoacuilco de Trujano, 28.48 ," 8,990.00 "
Guerrero,Tetipac, 29.74 ," 4,415.00 "
Guerrero,Tixtla de Guerrero, 25.92 ," 11,432.00 "
Guerrero,Tlacoachistlahuaca, 41.48 ," 9,772.00 "
Guerrero,Tlacoapa, 15.88 ," 1,658.00 "
Guerrero,Tlalchapa, 11.07 ," 1,499.00 "
Guerrero,Tlalixtaquilla de Maldonado, 41.94 ," 3,297.00 "
Guerrero,Tlapa de Comonfort, 38.31 ," 39,620.00 "
Guerrero,Tlapehuala, 39.23 ," 9,715.00 "
Guerrero,La Unión de Isidoro Montes de Oca, 27.75 ," 7,153.00 "
Guerrero,Xalpatláhuac, 30.03 ," 3,716.00 "
Guerrero,Xochihuehuetlán, 19.10 ," 1,553.00 "
Guerrero,Xochistlahuaca, 38.38 ," 11,863.00 "
Guerrero,Zapotitlán Tablas, 32.55 ," 4,041.00 "
Guerrero,Zirándaro, 16.42 ," 3,063.00 "
Guerrero,Zitlala, 20.12 ," 4,574.00 "
Guerrero,Eduardo Neri, 24.55 ," 11,973.00 "
Guerrero,Acatepec, 29.65 ," 12,325.00 "
Guerrero,Marquelia, 42.81 ," 5,887.00 "
Guerrero,Cochoapa el Grande, 22.86 ," 5,022.00 "
Guerrero,José Joaquin de Herrera, 18.93 ," 3,598.00 "
Guerrero,Juchitán, 36.60 ," 2,861.00 "
Guerrero,Iliatenco, 40.55 ," 6,292.00 "
Hidalgo,Acatlán, 32.79 ," 8,093.00 "
Hidalgo,Acaxochitlán, 45.86 ," 22,117.00 "
Hidalgo,Actopan, 21.21 ," 12,570.00 "
Hidalgo,Agua Blanca de Iturbide, 31.48 ," 3,350.00 "
Hidalgo,Ajacuba, 21.45 ," 3,857.00 "
Hidalgo,Alfajayucan, 45.08 ," 9,922.00 "
Hidalgo,Almoloya, 24.46 ," 2,996.00 "
Hidalgo,Apan, 21.40 ," 9,610.00 "
Hidalgo,El Arenal, 32.75 ," 6,824.00 "
